映画・ドラマ,地雷フラグ,友人におすすめ,ワクワク,怖い,感動,イケメン・美人,胸キュン,爆発・暴力,あり得ない,勉強になる,悲しい,笑える,社会派,アクション,絵が美しい🥰
猫の恩返し,0,8.5,8.5,4.5,9.0,6.5,4.5,1.5,9.0,3.5,6.0,5.0,0.0,0.0,4.5
異端の鳥,0,1.0,1.0,10.0,5.0,2.0,0.0,10.0,3.5,3.0,7.0,0.0,6.0,0.0,9.0
皇帝ペンギン,0,7.0,7.0,2.0,9.0,0.0,1.0,0.0,0.0,9.0,4.0,2.0,1.0,0.0,10.0
真夏の方程式,0,7.5,5.0,4.5,8.0,8.0,3.0,2.0,1.0,3.5,5.5,2.5,4.0,1.0,4.5
神様の言うとおり,1,3.0,4.0,10.0,5.0,8.0,0.0,10.0,10.0,2.0,4.0,4.0,2.0,8.0,3.0
私の中のあなた,0,7.0,4.0,3.0,9.0,6.0,0.0,1.0,0.0,6.0,5.0,3.0,6.0,1.0,7.0
糸,0,8.0,6.0,1.0,9.0,8.0,8.0,0.0,3.0,4.0,4.0,4.0,5.0,2.0,8.0
紅き大魚の伝説,0,10.0,3.0,0.0,10.0,8.0,8.0,1.0,2.5,2.0,8.0,1.0,0.0,10.0,10.0
終わらない青,0,3.0,2.0,10.0,2.0,5.0,6.0,8.0,7.0,5.0,6.0,7.0,3.0,3.0,1.0
美女と野獣,0,8.5,6.5,2.0,9.5,9.0,9.0,3.0,4.0,3.0,3.5,3.0,1.0,2.5,9.0
耳をすませば,0,8.333333333333334,5.333333333333333,1.0,7.666666666666667,6.333333333333333,7.666666666666667,0.3333333333333333,2.333333333333333,1.3333333333333333,3.333333333333333,4.0,1.6666666666666667,0.6666666666666666,6.666666666666667
聲の形,0,10.0,3.0,3.0,10.0,0.0,6.0,4.0,5.0,8.0,8.0,2.0,10.0,0.0,9.0
花束みたいな恋をした,1,8.0,6.0,1.0,7.0,9.0,8.0,0.0,0.5,7.0,8.0,3.0,8.0,0.0,6.0
西の魔女が死んだ,0,7.0,8.0,0.0,8.0,7.0,3.0,2.0,2.0,7.0,8.0,5.0,5.0,0.0,0.0
近キョリ恋愛,1,2.0,1.0,0.0,1.0,8.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,2.0
進撃の巨人,1,0.0,0.0,2.0,0.0,8.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0
進撃の巨人　実写版,1,1.0,0.0,8.0,1.0,7.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0
陰陽師,1,3.0,7.0,8.0,5.0,7.0,3.0,5.0,10.0,4.0,0.0,0.0,5.0,7.0,0.0
青鬼,0,1.0,0.0,8.0,0.0,0.0,0.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,8.0
風の谷のナウシカ,0,8.0,8.0,3.5,9.0,8.5,7.5,1.5,3.5,4.0,3.5,2.5,3.5,3.0,9.5
風立ちぬ,0,7.0,6.5,3.5,7.5,7.0,6.0,0.5,1.0,7.0,4.0,1.5,3.5,0.5,7.5
鬼滅の刃列車編,1,9.0,9.0,6.333333333333333,9.0,6.333333333333333,2.0,9.333333333333334,6.333333333333333,6.666666666666667,10.0,10.0,6.666666666666667,10.0,9.0
鬼滅の刃無限列車編,0,7.0,7.0,8.0,9.0,5.0,1.0,9.0,10.0,1.0,9.0,6.0,1.0,7.0,8.0
魔女の宅急便,0,8.0,6.0,4.5,7.5,3.0,3.5,1.0,4.0,0.5,3.5,2.0,0.0,4.0,9.5
魔法にかけられて,0,6.0,8.0,2.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,9.0
２０世紀少年,1,5.0,7.0,8.0,6.0,5.0,3.0,8.0,8.0,4.0,7.0,4.0,0.0,0.0,0.0
